Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2025-02-14,55084.109375,56362.84762834821,55084.109375,55084.109375,23979779
2025-02-17,55084.109375,55575.93178013393,54789.01593191964,55182.47385602679,11916027
2025-02-18,55969.38671875,56264.480146089634,54985.74196095123,55280.83538829086,22131007
2025-02-19,57739.953125,57936.682096465076,56362.85032474446,56461.214810477,25395151
2025-02-20,57444.85546875,58133.40681854666,57149.76203312286,58133.40681854666,21589059
2025-02-21,57248.1328125,57543.22628060567,56166.12342944587,57444.86179123711,22198428
2025-02-24,56362.8515625,56756.30951407068,56264.48707460733,56362.8515625,14138471
2025-02-25,56264.484375,56854.67127403846,55575.93299278846,55674.29747596154,14625181
2025-02-26,55674.296875,56166.11928555653,55182.47446444346,56067.75480344523,18117091
2025-02-27,55379.203125,56166.11897757549,55280.83864342806,55575.932088143876,14975356
2025-02-28,53608.64453125,54789.01835579128,53608.64453125,54493.92489965596,28036698
2025-03-04,53608.64453125,54100.466958142206,52920.093133600916,53018.45761897936,18553933
2025-03-05,53116.8203125,54493.9230613426,53116.8203125,54198.82961516204,16578817
2025-03-06,53411.9140625,53608.64302773941,53116.820614640885,53215.18509726059,12258101
2025-03-07,52821.7265625,53313.548969972064,52526.633118016754,52624.99759951117,14274992
2025-03-10,52821.7265625,53903.73585893855,52624.99759951117,52624.99759951117,12921670
2025-03-11,52723.36328125,53215.18569991838,51641.35396017957,51641.35396017957,17740891
2025-03-12,54002.09765625,54395.555562670765,52723.35946038251,52920.08841359289,17973221
2025-03-13,53805.375,54985.74885740402,53313.55255941499,54887.38436928702,24132151
2025-03-14,53805.375,54198.83295246801,53510.281535648995,53608.64602376599,10845154
2025-03-17,56657.94140625,56854.67036946615,54493.9228108724,54592.28729248047,35559021
2025-03-18,56657.94140625,58035.04414876302,56362.84796142578,57838.315185546875,28138594
2025-03-19,57543.22265625,58231.77403846154,56461.213341346156,56461.213341346156,29421759
2025-03-20,59215.421875,59313.78636316445,57543.22557620432,58231.77699335548,34989004
2025-03-21,60690.8828125,60690.8828125,59412.14460089141,59903.96698997164,40155612
2025-03-24,59510.51171875,60592.52102272728,59510.51171875,60199.06309400826,14088094
2025-03-25,58821.9609375,60100.69921875,58526.867487980766,59903.970252403844,17259455
2025-03-26,60395.796875,60395.796875,58723.60054458469,58821.965034609115,16431645
2025-03-27,60789.25,60985.97896440129,59805.60517799353,59903.969660194176,20389790
2025-03-28,59567.234375,60457.77442379568,59369.33658637874,60061.97884655316,16282514
2025-03-31,57192.45703125,59072.48589559905,57192.45703125,58874.58812040441,17633494
2025-04-01,58181.94921875,58973.540364583336,57291.4091796875,58083.000325520836,13841706
2025-04-02,58181.94921875,58775.642578125,57687.204752604164,58181.94921875,14402297
2025-04-03,56994.55859375,57192.45636664497,56301.916388617625,56301.916388617625,19508076
2025-04-04,55510.328125,57588.254846256685,55114.53255904635,55609.27701648841,23527139
2025-04-07,52640.80859375,53531.34858875705,52541.85970541588,52739.75748208411,31998883
2025-04-08,52937.65625,54718.736273364484,52739.75846962617,54421.889602803734,25532845
2025-04-09,52442.9140625,53729.24969044811,52343.96516804245,52739.76074587264,20576960
2025-04-10,55807.17578125,56104.0224609375,54421.891276041664,56005.073567708336,22948172
2025-04-11,54619.7890625,55114.533528645836,54223.993489583336,55015.584635416664,13930480
2025-04-14,55609.27734375,56104.02180410364,55213.48177546708,55708.22623582073,12852613
2025-04-15,56005.0703125,56499.81474988958,55609.274762588335,55708.223650066255,8998640
2025-04-16,54125.04296875,55609.27632255485,53927.145188242685,55411.37854204753,14437025
2025-04-17,54520.83984375,54718.73762902677,53927.146487919694,54125.044273196465,10867069
2025-04-18,54718.73828125,55015.58496270343,54322.94270597875,54718.73828125,5848342
2025-04-21,54817.6875,55411.38086642599,54520.84081678701,54619.78971119134,5941847
2025-04-22,54421.890625,54916.63508522727,54125.04394886364,54322.94173295455,9532469
2025-04-23,55114.53515625,55510.33074085503,54916.63736394749,55411.38184470377,11148692
