date,open,close,rsi,avg_gain,avg_loss
20230710,70000,69500,39.36,212.2449,327.0408
20230711,70200,71500,52.82,339.9417,303.6808
20230712,71200,71900,54.97,344.2316,281.9893
20230713,72400,71900,54.97,319.6436,261.8472
20230714,72500,73400,62.43,403.9548,243.1438
20230717,73200,73300,61.69,375.1009,232.9193
20230718,73200,72000,52.98,348.3079,309.1393
20230719,72700,71700,51.18,323.4288,308.4865
20230720,71100,71000,47.16,300.3267,336.4518
20230721,70400,70300,43.49,278.8748,362.4195
20230724,70100,70400,44.16,266.0981,336.5324
20230725,70000,70000,42.01,247.0911,341.0658
20230726,69800,69800,40.94,229.4417,330.9897
20230727,69900,71700,53.16,348.7673,307.3475
20230728,71800,70600,47.08,323.8553,363.9656
20230731,70900,69800,43.22,300.7228,395.1109
20230801,70100,71100,50.35,372.0998,366.8887
20230802,70700,69900,44.76,345.5212,426.3966
20230803,69900,68800,40.34,320.8411,474.5112
20230804,68800,68300,38.48,297.9239,476.3318
20230807,67700,68500,39.68,290.9293,442.3081
20230808,69000,67600,36.25,270.1487,475.0004
20230809,68000,68900,43.8,343.7095,441.0718
20230810,68300,68000,40.25,319.1588,473.8524
20230811,68400,67500,38.38,296.3617,475.72
20230814,67500,67300,37.63,275.193,456.0258
20230816,66700,67000,36.48,255.5364,444.8811
20230817,66300,66700,35.32,237.2838,434.5324
20230818,66000,66300,33.77,220.335,432.0658
20230821,66600,66600,36.04,226.0253,401.204
20230822,67200,66600,36.04,209.8807,372.5465
20230823,66700,67100,40.0,230.6035,345.9361
20230824,68300,68200,47.68,292.7032,321.2264
20230825,67100,67100,41.9,271.7958,376.853
20230828,66800,66800,40.46,252.3819,371.3635
20230829,66900,66800,40.46,234.3546,344.8376
20230830,67300,67100,42.74,239.0435,320.2063
20230831,67100,66900,41.6,221.969,311.6202
20230901,66800,71000,63.29,498.9712,289.3616
20230904,72900,71200,64.0,477.6161,268.6929
20230905,70900,70700,60.86,443.5007,285.2148
20230906,70700,70000,56.67,411.8221,314.8423
20230907,70000,70400,58.43,410.9776,292.3536
20230908,70200,70300,57.8,381.6221,278.6141
20230911,70400,70800,60.12,390.0777,258.7131
