date,open,close,rsi,avg_gain,avg_loss
20230710,70000,69500,39.36,212.2449,327.0408
20230711,70200,71500,52.82,339.9417,303.6808
20230712,71200,71900,54.97,344.2316,281.9893
20230713,72400,71900,54.97,319.6436,261.8472
20230714,72500,73400,62.43,403.9548,243.1438
20230717,73200,73300,61.69,375.1009,232.9193
20230718,73200,72000,52.98,348.3079,309.1393
20230719,72700,71700,51.18,323.4288,308.4865
20230720,71100,71000,47.16,300.3267,336.4518
20230721,70400,70300,43.49,278.8748,362.4195
20230724,70100,70400,44.16,266.0981,336.5324
20230725,70000,70000,42.01,247.0911,341.0658
20230726,69800,69800,40.94,229.4417,330.9897
20230727,69900,71700,53.16,348.7673,307.3475
20230728,71800,70600,47.08,323.8553,363.9656
20230731,70900,69800,43.22,300.7228,395.1109
20230801,70100,71100,50.35,372.0998,366.8887
20230802,70700,69900,44.76,345.5212,426.3966
20230803,69900,68800,40.34,320.8411,474.5112
20230804,68800,68300,38.48,297.9239,476.3318
20230807,67700,68500,39.68,290.9293,442.3081
20230808,69000,67600,36.25,270.1487,475.0004
20230809,68000,68900,43.8,343.7095,441.0718
20230810,68300,68000,40.25,319.1588,473.8524
20230811,68400,67500,38.38,296.3617,475.72
20230814,67500,67300,37.63,275.193,456.0258
20230816,66700,67000,36.48,255.5364,444.8811
20230817,66300,66700,35.32,237.2838,434.5324
20230818,66000,66300,33.77,220.335,432.0658
20230821,66600,66600,36.04,226.0253,401.204
20230822,67200,66600,36.04,209.8807,372.5465
20230823,66700,67100,40.0,230.6035,345.9361
20230824,68300,68200,47.68,292.7032,321.2264
20230825,67100,67100,41.9,271.7958,376.853
20230828,66800,66800,40.46,252.3819,371.3635
20230829,66900,66800,40.46,234.3546,344.8376
20230830,67300,67100,42.74,239.0435,320.2063
20230831,67100,66900,41.6,221.969,311.6202
20230901,66800,71000,63.29,498.9712,289.3616
20230904,72900,71200,64.0,477.6161,268.6929
20230905,70900,70700,60.86,443.5007,285.2148
20230906,70700,70000,56.67,411.8221,314.8423
20230907,70000,70400,58.43,410.9776,292.3536
20230908,70200,70300,57.8,381.6221,278.6141
20230911,70400,70800,60.12,390.0777,258.7131
20230912,70800,70500,58.06,362.215,261.6621
20230913,71100,70900,60.03,364.9139,242.972
20230914,71200,71700,63.7,395.9915,225.6168
20230915,71700,72000,65.0,389.1349,209.5013
20230918,71300,70200,52.79,361.3396,323.1084
20230919,70400,69800,50.52,335.5296,328.6006
20230920,70000,69600,49.38,311.5632,319.4149
20230921,69200,68900,45.5,289.3087,346.5995
20230922,68300,68800,44.95,268.6438,328.9853
20230925,68500,69400,48.9,292.3121,305.4863
20230926,70000,68600,44.33,271.4327,340.8087
20230927,68600,68400,43.25,252.0446,330.751
20231004,67400,67500,38.66,234.0414,371.4116
20231005,67300,66700,35.09,217.3242,402.0251
20231006,67100,66000,32.28,201.801,423.309
20231010,66200,66400,35.46,215.9581,393.0726
20231011,68600,68200,47.41,329.1039,364.996
20231012,68600,68900,51.2,355.5965,338.9249
20231013,68000,68000,46.56,330.1968,379.0017
20231016,67900,67300,43.27,306.6113,401.9301
20231017,67700,69400,53.81,434.7105,373.2208
20231018,68900,70500,58.18,482.2312,346.5622
20231019,69700,69500,53.24,447.7861,393.2363
20231020,68900,68800,50.04,415.8014,415.148
20231023,68700,68400,48.25,386.1013,414.066
20231024,68700,68500,48.75,365.6655,384.4899
20231025,68800,68000,46.37,339.5465,392.7406
20231026,67000,66700,40.8,315.2932,457.5448
20231027,67100,67300,44.13,335.6294,424.8631
20231030,66800,67300,44.13,311.6558,394.5157
20231031,67600,66900,42.29,289.3947,394.9074
20231101,67500,68600,51.55,390.1522,366.6998
20231102,70000,69700,56.42,440.8556,340.5069
20231103,69700,69600,55.87,409.366,323.3279
20231106,69800,70900,61.17,472.9827,300.233
20231107,70600,70900,61.17,439.1982,278.7878
20231108,71300,69900,55.25,407.8269,330.303
20231109,69900,70300,57.04,407.2678,306.7099
20231110,70000,70500,57.95,392.463,284.802
20231113,71300,70400,57.3,364.4299,271.6019
