date,open,close,rsi,avg_gain,avg_loss
20230714,72500,73400,59.66,392.3469,265.3061
20230717,73200,73300,58.97,364.3222,253.4985
20230718,73200,72000,50.75,338.2991,328.2486
20230719,72700,71700,49.06,314.1349,326.2309
20230720,71100,71000,45.25,291.6967,352.9287
20230721,70400,70300,41.76,270.8612,377.7195
20230724,70100,70400,42.44,258.6569,350.7395
20230725,70000,70000,40.4,240.1814,354.2581
20230726,69800,69800,39.39,223.0256,343.2397
20230727,69900,71700,51.82,342.8094,318.7226
20230728,71800,70600,45.94,318.3231,374.5281
20230731,70900,69800,42.2,295.5857,404.919
20230801,70100,71100,49.42,367.3296,375.9962
20230802,70700,69900,43.96,341.0917,434.8536
20230803,69900,68800,39.64,316.7281,482.364
20230804,68800,68300,37.82,294.1046,483.6238
20230807,67700,68500,39.02,287.3829,449.0792
20230808,69000,67600,35.67,266.8555,481.2878
20230809,68000,68900,43.25,340.6515,446.9101
20230810,68300,68000,39.76,316.3193,479.2737
20230811,68400,67500,37.93,293.7251,480.7541
20230814,67500,67300,37.19,272.7447,460.7003
20230816,66700,67000,36.05,253.2629,449.2217
20230817,66300,66700,34.91,235.1727,438.563
20230818,66000,66300,33.38,218.3747,435.8085
20230821,66600,66600,35.65,224.2051,404.6793
20230822,67200,66600,35.65,208.1904,375.7736
20230823,66700,67100,39.63,229.0339,348.9327
20230824,68300,68200,47.34,291.2458,324.0089
20230825,67100,67100,41.61,270.4425,379.4368
20230828,66800,66800,40.19,251.1252,373.7628
20230829,66900,66800,40.19,233.1877,347.0654
20230830,67300,67100,42.48,237.96,322.2751
20230831,67100,66900,41.34,220.9629,313.5411
20230901,66800,71000,63.11,498.0369,291.1453
20230904,72900,71200,63.81,476.7486,270.3492
20230905,70900,70700,60.69,442.6951,286.7529
20230906,70700,70000,56.52,411.074,316.2705
20230907,70000,70400,58.28,410.283,293.6798
20230908,70200,70300,57.65,380.9771,279.8455
20230911,70400,70800,59.98,389.4787,259.8565
20230912,70800,70500,57.92,361.6588,262.7239
20230913,71100,70900,59.9,364.3975,243.9579
20230914,71200,71700,63.58,395.512,226.5324
20230915,71700,72000,64.89,388.6897,210.3515
20230918,71300,70200,52.7,360.9261,323.8978
20230919,70400,69800,50.44,335.1457,329.3337
20230920,70000,69600,49.3,311.2067,320.0956
20230921,69200,68900,45.42,288.9777,347.2316
20230922,68300,68800,44.88,268.3364,329.5722
20230925,68500,69400,48.83,292.0267,306.0313
20230926,70000,68600,44.27,271.1676,341.3148
20230927,68600,68400,43.19,251.7985,331.2209
20231004,67400,67500,38.6,233.8129,371.848
20231005,67300,66700,35.04,217.112,402.4302
20231006,67100,66000,32.24,201.604,423.6852
20231010,66200,66400,35.42,215.7751,393.422
20231011,68600,68200,47.38,328.934,365.3204
20231012,68600,68900,51.17,355.4387,339.2261
20231013,68000,68000,46.53,330.0503,379.2814
20231016,67900,67300,43.25,306.4752,402.1899
20231017,67700,69400,53.78,434.5842,373.462
20231018,68900,70500,58.16,482.1139,346.7862
20231019,69700,69500,53.22,447.6772,393.4443
20231020,68900,68800,50.02,415.7002,415.3411
20231023,68700,68400,48.24,386.0073,414.2453
20231024,68700,68500,48.73,365.5782,384.6564
20231025,68800,68000,46.35,339.4655,392.8952
20231026,67000,66700,40.78,315.218,457.6884
20231027,67100,67300,44.12,335.5596,424.9964
20231030,66800,67300,44.12,311.591,394.6395
20231031,67600,66900,42.28,289.3345,395.0224
20231101,67500,68600,51.54,390.0963,366.8065
20231102,70000,69700,56.41,440.8037,340.606
20231103,69700,69600,55.86,409.3178,323.4199
20231106,69800,70900,61.16,472.9379,300.3185
20231107,70600,70900,61.16,439.1566,278.8672
20231108,71300,69900,55.24,407.7883,330.3766
20231109,69900,70300,57.03,407.232,306.7783
20231110,70000,70500,57.94,392.4297,284.8656
20231113,71300,70400,57.29,364.399,271.6609
20231114,71000,70800,59.26,366.9419,252.2565
20231115,71600,72200,65.3,440.7318,234.2382
20231116,72500,72800,67.52,452.1081,217.5069
20231117,72300,72500,65.27,419.8147,223.3993
20231120,72100,72700,66.08,404.1136,207.4422
20231121,73100,72800,66.5,382.3912,192.6249
20231122,72200,72800,66.5,355.0776,178.866
20231123,73000,72400,62.88,329.7149,194.6613
20231124,72400,71700,57.02,306.1638,230.7569
20231127,71500,71300,53.93,284.295,242.8457
20231128,71400,72700,61.75,363.9882,225.4996
20231129,72400,72700,61.75,337.989,209.3924
20231130,72700,72800,62.28,320.9898,194.4358
20231201,72400,72000,55.63,298.062,237.6904
20231204,72800,72600,59.15,319.629,220.7125
20231205,72300,71200,49.32,296.7983,304.9474
