date,open,close,rsi,avg_gain,avg_loss
20240102,202000,200500,70.35,1263.1143,532.4119
20240103,199100,193800,54.66,1172.8918,972.9539
20240104,192000,190000,48.11,1089.1139,1174.8858
20240105,190100,187300,44.06,1011.32,1283.8225
20240108,187600,185700,41.82,939.0829,1306.4066
20240109,187800,185600,41.68,872.0055,1220.2347
20240110,185600,186700,43.95,888.2908,1133.0751
20240111,187200,187000,44.58,846.2701,1052.1411
20240112,186600,186000,42.84,785.8222,1048.4168
20240115,186000,187500,46.22,836.8349,973.5299
20240116,186600,186200,43.8,777.061,996.8492
20240117,186300,181800,36.79,721.5566,1239.9314
20240118,180000,180200,34.61,670.0169,1265.6506
20240119,183000,181700,38.29,729.3014,1175.2469
20240122,182300,180100,35.97,677.2084,1205.5864
20240123,181200,184800,46.28,964.5507,1119.4731
20240124,185300,185000,46.68,909.9399,1039.5108
20240125,184400,188700,53.47,1109.2299,965.26
20240126,189300,187300,50.83,1029.9992,996.3129
20240129,187300,195600,62.61,1549.285,925.1476
20240130,196000,190000,53.33,1438.6218,1259.0657
20240131,189300,194600,58.74,1664.4345,1169.1324
20240201,193900,208000,69.75,2502.6892,1085.623
20240202,221500,227000,78.5,3681.0685,1008.0785
20240205,233500,238000,81.79,4203.8493,936.0729
20240206,234000,235500,78.84,3903.5744,1047.7819
20240207,239000,245000,81.56,4303.3191,972.9404
20240208,243000,250000,82.81,4353.082,903.4446
20240213,251000,249000,81.62,4042.1476,910.3414
20240214,245000,245500,77.41,3753.4227,1095.3171
20240215,250000,240000,71.2,3485.3211,1409.9373
20240216,241500,252500,75.93,4129.2268,1309.2275
20240219,253500,252500,75.93,3834.282,1215.7112
20240220,250000,242000,65.46,3560.4047,1878.8747
20240221,242000,239500,63.22,3306.0901,1923.2408
20240222,239000,243500,65.27,3355.6551,1785.8664
20240223,244000,244000,65.52,3151.6797,1658.3046
20240226,237500,239000,60.67,2926.5597,1896.9971
20240227,239000,238500,60.19,2717.5198,1797.2116
20240228,234000,248000,65.74,3201.9826,1668.8393
20240229,246500,250500,67.04,3151.841,1549.6365
20240304,255500,255500,69.53,3283.8524,1438.9482
20240305,251500,249000,62.88,3049.2915,1800.4519
20240306,247000,251000,64.02,2974.3421,1671.8482
20240307,252500,250000,62.97,2761.8891,1623.859
20240308,251500,253000,64.83,2778.897,1507.8691
20240311,251000,243500,55.38,2580.4044,2078.7356
20240312,244000,241500,53.61,2396.0898,2073.1116
20240313,243500,248500,58.6,2724.9405,1925.0322
20240314,248000,251500,60.56,2744.5876,1787.5299
20240315,250000,243500,53.32,2548.5456,2231.2778
20240318,244000,242500,52.47,2366.5067,2143.3294
20240319,241000,237500,48.35,2197.4705,2347.3773
20240320,240000,241000,51.24,2290.5083,2179.7075
20240321,247000,252000,59.0,2912.6148,2024.0141
20240322,252500,243500,52.1,2704.5709,2486.5845
20240325,244000,239500,49.18,2511.3873,2594.6856
20240326,239000,240500,49.94,2403.4311,2409.3509
20240327,241000,244000,52.59,2481.7574,2237.2544
20240328,246000,237000,47.2,2304.489,2577.4505
20240329,238000,233000,44.41,2139.8827,2679.0612
20240401,234500,227500,40.82,1987.0339,2880.5568
20240402,225000,220000,36.5,1845.1029,3210.5171
20240403,219000,216000,34.4,1713.3098,3266.9087
20240404,218500,226000,43.18,2305.2163,3033.5581
20240405,223500,225500,42.87,2140.558,2852.5896
20240408,227000,232500,48.43,2487.661,2648.8332
20240409,234500,228000,45.37,2309.9709,2781.0594
20240411,222000,241000,54.34,3073.5444,2582.4123
20240412,241000,238000,52.21,2854.0055,2612.24
20240415,236000,241500,54.45,2900.148,2425.6515
20240416,239000,242000,54.78,2728.7088,2252.3906
20240417,242000,233500,48.42,2533.8011,2698.6484
20240418,237000,231000,46.71,2352.8153,2684.4593
20240419,231000,235000,49.78,2470.4713,2492.7122
20240422,240000,245000,56.52,3008.2948,2314.6613
20240423,250000,249500,59.17,3114.8452,2149.3284
20240424,249000,252500,60.89,3106.642,1995.8049
20240425,251000,250000,58.67,2884.739,2031.8188
20240426,250000,249500,58.22,2678.6862,1922.4032
20240429,249000,251500,59.57,2630.2086,1785.0887
20240430,250000,251000,59.06,2442.3365,1693.2966
20240502,249000,249000,56.94,2267.8839,1715.204
20240503,250000,241000,49.32,2105.8922,2164.118
20240507,242500,242000,50.22,2026.8999,2009.5382
20240508,240500,242000,50.22,1882.1214,1865.9997
20240509,242000,237000,45.54,1747.6841,2089.8569
20240510,239000,241500,50.05,1944.2781,1940.5814
20240513,242500,245000,53.29,2055.4011,1801.9684
20240514,245500,246500,54.64,2015.7296,1673.2564
20240516,248000,247000,55.11,1907.4632,1553.7381
20240517,247000,244000,51.67,1771.2158,1657.0425
20240520,245500,250500,57.82,2108.9861,1538.6823
20240521,249000,253000,59.93,2136.9157,1428.7765
20240522,253000,277000,73.6,3698.5646,1326.721
20240523,273500,271500,67.88,3434.3814,1624.8124
20240524,268500,267500,63.99,3189.0684,1794.4686
20240527,267500,265500,62.08,2961.2778,1809.1494
20240528,265000,265000,61.58,2749.758,1715.6388
20240529,262500,261000,57.61,2553.3467,1878.8074
20240530,260500,257000,53.87,2370.9648,2030.3212
20240531,259500,253000,50.35,2201.6102,2171.0125
20240603,257500,265000,59.0,2901.4951,2015.9402
20240604,262500,259000,53.94,2694.2455,2300.5159
20240605,261000,264000,57.23,2858.9422,2136.1933
20240607,262500,265000,57.88,2726.1607,1983.6081
20240610,261500,267500,59.54,2710.0063,1841.9218
20240611,270500,271000,61.8,2766.4344,1710.356
20240612,273000,270000,60.75,2568.832,1659.6162
20240613,273000,269000,59.67,2385.344,1612.5008
20240614,268500,268000,58.54,2214.9623,1568.7507
20240617,276000,278500,65.83,2806.7507,1456.6971
20240618,280500,283000,68.4,2927.6971,1352.6473
20240619,286500,286500,70.27,2968.5758,1256.0297
20240620,285500,285500,69.01,2756.5347,1237.7418
20240621,283500,280000,62.4,2559.6394,1542.1888
20240624,277000,281000,63.09,2448.2366,1432.0325
20240625,281000,288500,67.87,2809.0768,1329.7445
20240626,289000,289500,68.46,2679.857,1234.7627
20240627,287000,298000,72.97,3095.5815,1146.5654
20240628,299500,295000,69.21,2874.4686,1278.9536
