date,open,close,rsi,avg_gain,avg_loss
20230719,72700,71700,45.09,311.7347,379.5918
20230720,71100,71000,41.83,289.4679,402.4781
20230721,70400,70300,38.81,268.7916,423.7297
20230724,70100,70400,39.49,256.7351,393.4633
20230725,70000,70000,37.7,238.3969,393.9302
20230726,69800,69800,36.81,221.3685,380.078
20230727,69900,71700,49.16,341.2708,352.9296
20230728,71800,70600,43.82,316.8943,406.2918
20230731,70900,69800,40.38,294.259,434.4138
20230801,70100,71100,47.58,366.0976,403.3842
20230802,70700,69900,42.48,339.9478,460.2854
20230803,69900,68800,38.42,315.6658,505.9793
20230804,68800,68300,36.7,293.1183,505.5522
20230807,67700,68500,37.9,286.467,469.4413
20230808,69000,67600,34.72,266.005,500.1955
20230809,68000,68900,42.25,339.8618,464.4672
20230810,68300,68000,38.91,315.586,495.5767
20230811,68400,67500,37.14,293.0441,495.8927
20230814,67500,67300,36.43,272.1124,474.7575
20230816,66700,67000,35.34,252.6758,462.2748
20230817,66300,66700,34.24,234.6275,450.6838
20230818,66000,66300,32.77,217.8684,447.0635
20230821,66600,66600,35.02,223.735,415.1304
20230822,67200,66600,35.02,207.7539,385.4782
20230823,66700,67100,38.98,228.6286,357.9441
20230824,68300,68200,46.67,290.8694,332.3766
20230825,67100,67100,41.09,270.093,387.2069
20230828,66800,66800,39.7,250.8007,380.9778
20230829,66900,66800,39.7,232.8863,353.7651
20230830,67300,67100,41.98,237.6802,328.4962
20230831,67100,66900,40.87,220.703,319.3179
20230901,66800,71000,62.67,497.7957,296.5094
20230904,72900,71200,63.38,476.5245,275.3302
20230905,70900,70700,60.3,442.4871,291.378
20230906,70700,70000,56.17,410.8809,320.5653
20230907,70000,70400,57.94,410.1037,297.6678
20230908,70200,70300,57.32,380.8105,283.5487
20230911,70400,70800,59.66,389.3241,263.2952
20230912,70800,70500,57.62,361.5152,265.917
20230913,71100,70900,59.6,364.2641,246.9229
20230914,71200,71700,63.3,395.3881,229.2855
20230915,71700,72000,64.6,388.5747,212.908
20230918,71300,70200,52.51,360.8193,326.2717
20230919,70400,69800,50.26,335.0465,331.538
20230920,70000,69600,49.13,311.1146,322.1425
20230921,69200,68900,45.28,288.8922,349.1323
20230922,68300,68800,44.74,268.257,331.3371
20230925,68500,69400,48.69,291.9529,307.6702
20230926,70000,68600,44.16,271.0992,342.8366
20230927,68600,68400,43.08,251.7349,332.634
20231004,67400,67500,38.52,233.7539,373.1601
20231005,67300,66700,34.97,217.0572,403.6487
20231006,67100,66000,32.18,201.5531,424.8166
20231010,66200,66400,35.35,215.7279,394.4726
20231011,68600,68200,47.31,328.8902,366.296
20231012,68600,68900,51.1,355.398,340.132
20231013,68000,68000,46.47,330.0124,380.1226
20231016,67900,67300,43.2,306.4401,402.9709
20231017,67700,69400,53.73,434.5515,374.1873
20231018,68900,70500,58.11,482.0836,347.4596
20231019,69700,69500,53.18,447.649,394.0697
20231020,68900,68800,49.99,415.6741,415.9218
20231023,68700,68400,48.2,385.9831,414.7846
20231024,68700,68500,48.69,365.5557,385.1571
20231025,68800,68000,46.32,339.4446,393.3602
20231026,67000,66700,40.76,315.1986,458.1201
20231027,67100,67300,44.1,335.5415,425.3973
20231030,66800,67300,44.1,311.5743,395.0118
20231031,67600,66900,42.26,289.319,395.3681
20231101,67500,68600,51.52,390.0819,367.1275
20231102,70000,69700,56.39,440.7903,340.9041
20231103,69700,69600,55.84,409.3053,323.6967
20231106,69800,70900,61.14,472.9264,300.5755
20231107,70600,70900,61.14,439.1459,279.1058
20231108,71300,69900,55.23,407.7783,330.5982
20231109,69900,70300,57.02,407.2227,306.9841
20231110,70000,70500,57.92,392.4211,285.0566
20231113,71300,70400,57.27,364.391,271.8383
20231114,71000,70800,59.24,366.9345,252.4213
20231115,71600,72200,65.28,440.7249,234.3912
20231116,72500,72800,67.5,452.1017,217.649
20231117,72300,72500,65.25,419.8087,223.5312
20231120,72100,72700,66.07,404.1081,207.5647
20231121,73100,72800,66.49,382.3861,192.7386
20231122,72200,72800,66.49,355.0728,178.9716
20231123,73000,72400,62.87,329.7105,194.7593
20231124,72400,71700,57.01,306.1597,230.8479
20231127,71500,71300,53.92,284.2912,242.9302
20231128,71400,72700,61.74,363.9847,225.5781
20231129,72400,72700,61.74,337.9858,209.4654
20231130,72700,72800,62.27,320.9868,194.5035
20231201,72400,72000,55.63,298.0591,237.7533
20231204,72800,72600,59.15,319.6263,220.7709
20231205,72300,71200,49.32,296.7959,305.0016
20231206,71800,71700,52.36,311.3105,283.2157
20231207,71800,71500,51.04,289.074,277.2718
20231208,72100,72600,57.41,346.9973,257.4666
20231211,72800,73000,59.47,350.7832,239.0762
20231212,73300,73500,61.95,361.4415,221.9993
20231213,73300,72800,56.72,335.6243,256.1422
20231214,74100,73100,58.34,333.0797,237.8463
20231215,73800,73300,59.43,323.574,220.8573
20231218,73300,72900,56.25,300.4616,233.6532
20231219,73000,73400,59.19,314.7143,216.9637
20231220,74200,74800,66.07,392.2347,201.4663
20231221,74600,75000,66.92,378.5037,187.0758
20231222,75800,75900,70.53,415.7534,173.7133
20231226,76100,76600,73.0,436.0567,161.3052
20231227,76700,78000,77.12,504.9098,149.7834
20231228,77700,78500,78.39,504.5591,139.0846
20240102,78200,79600,80.9,547.0906,129.15
20240103,78500,77000,62.44,508.0127,305.6392
20240104,76100,76600,60.16,471.7261,312.3793
20240105,76700,76600,60.16,438.0314,290.0665
20240108,77000,76500,59.53,406.7434,276.4903
20240109,77400,74700,49.5,377.6903,385.3124
20240110,75000,73600,44.56,350.7124,436.3615
20240111,72900,73200,42.88,325.6615,433.7643
20240112,73000,73100,42.45,302.4,409.924
20240115,73200,73900,47.03,337.9429,380.6437
20240116,73500,72600,41.28,313.8041,446.312
20240117,73100,71000,35.53,291.3895,528.7183
20240118,71600,71700,39.5,320.576,490.9527
20240119,73500,74700,52.9,511.9634,455.8847
20240122,75900,75100,54.35,503.966,423.3215
20240123,75700,75200,54.72,475.1113,393.0842
20240124,75200,74000,49.46,441.1748,450.7211
20240125,74200,74100,49.9,416.8052,418.5267
20240126,73700,73400,46.88,387.0334,438.6319
20240129,73800,74400,51.4,430.8167,407.3011
20240130,75000,74300,50.94,400.0441,385.351
20240131,73400,72700,44.03,371.4695,472.1116
20240201,73000,73600,48.28,409.2217,438.3894
20240202,74000,75200,54.84,494.2773,407.0759
20240205,74200,74300,50.93,458.9717,442.2847
20240206,74300,74400,51.34,433.3309,410.693
20240207,74600,75000,53.86,445.2358,381.3577
20240208,75000,74100,49.7,413.4333,418.4036
20240213,74800,75200,54.35,462.4738,388.5176
20240214,73700,74000,49.03,429.4399,446.4807
20240215,74200,73000,45.07,398.7656,486.0178
20240216,73300,72800,44.3,370.2824,465.5879
20240219,72800,73800,48.99,415.2622,432.3316
20240220,73700,73300,46.87,385.6006,437.1651
20240221,73400,73000,45.59,358.0577,427.3676
20240222,73800,73100,46.12,339.625,396.8413
20240223,73600,72900,45.17,315.3661,382.7812
20240226,72300,72800,44.68,292.8399,362.5826
20240227,73100,72900,45.32,279.0657,336.6838
20240228,72900,73200,47.3,280.561,312.635
20240229,72600,73400,48.63,274.8066,290.3039
20240304,74300,74900,57.34,362.3204,269.5679
20240305,74600,73700,50.03,336.4404,336.0274
20240306,73200,72900,45.84,312.4089,369.1683
20240307,73100,72200,42.48,290.094,392.7991
20240308,72800,73300,48.82,347.9444,364.742
20240311,72900,72400,44.5,323.0913,402.9747
20240312,72600,73300,49.33,364.299,374.1908
20240313,73700,74100,53.23,395.4205,347.4629
20240314,74400,74300,54.18,381.4619,322.6441
20240315,73400,72300,44.46,354.2146,442.4553
20240318,72600,72800,47.02,364.6279,410.8513
20240319,72300,72800,47.02,338.583,381.5048
20240320,73700,76900,63.16,607.2557,354.2544
20240321,79200,79300,69.09,735.3088,328.9506
20240322,79600,78900,67.15,682.7868,334.0255
20240325,79600,78200,63.77,634.0163,360.1666
20240326,79700,79900,67.98,710.158,334.4404
20240327,79200,79800,67.49,659.4324,317.6946
20240328,79400,80800,69.86,683.7587,295.0022
20240329,81200,82400,73.23,749.2045,273.9306
20240401,83200,82000,71.09,695.6899,282.9355
20240402,82900,85000,76.61,860.2835,262.7259
20240403,84300,84100,72.16,798.8346,308.2454
20240404,85200,85300,74.3,827.4893,286.2279
20240405,84500,84500,70.41,768.3829,322.9259
20240408,85200,84500,70.41,713.4984,299.8598
20240409,84500,83600,65.91,662.5343,342.7269
20240411,83200,84100,67.16,650.9247,318.2464
20240412,84700,83700,65.1,604.4301,324.086
20240415,82900,82200,57.9,561.2565,408.0798
20240416,81200,80000,49.29,521.1667,536.0741
20240417,80700,78900,45.64,483.9405,576.3546
20240418,78800,79600,48.27,499.3734,535.1864
20240419,78300,77600,42.02,463.7038,639.8159
20240422,77400,76100,38.04,430.5821,701.2576
20240423,76400,75500,36.55,399.8263,694.0249
20240424,77500,78600,47.91,592.6958,644.4517
