date,open,close,rsi,avg_gain,avg_loss
20240325,79600,78200,59.69,663.2653,447.9592
20240326,79700,79900,63.93,737.3178,415.9621
20240327,79200,79800,63.51,684.6522,393.3934
20240328,79400,80800,65.94,707.1771,365.2939
20240329,81200,82400,69.45,770.9501,339.2014
20240401,83200,82000,67.57,715.8823,343.5442
20240402,82900,85000,73.37,879.0335,319.0053
20240403,84300,84100,69.36,816.2454,360.5049
20240404,85200,85300,71.59,843.6565,334.7546
20240405,84500,84500,68.04,783.3953,367.9864
20240408,85200,84500,68.04,727.4385,341.7017
20240409,84500,83600,63.9,675.4786,381.5801
20240411,83200,84100,65.17,662.9444,354.3244
20240412,84700,83700,63.26,615.5912,357.5869
20240415,82900,82200,56.55,571.6204,439.1879
20240416,81200,80000,48.44,530.7904,564.9602
20240417,80700,78900,44.97,492.8768,603.1773
20240418,78800,79600,47.55,507.6713,560.0932
20240419,78300,77600,41.56,471.4091,662.9437
20240422,77400,76100,37.72,437.737,722.7334
20240423,76400,75500,36.28,406.4701,713.9667
20240424,77500,78600,47.46,598.8651,662.9691
20240425,77300,76300,41.62,556.089,779.8999
20240426,77800,76700,42.94,544.9398,724.1928
20240429,77400,76700,42.94,506.0155,672.4647
20240430,77000,77500,45.77,527.0144,624.4315
20240502,77600,78000,47.52,525.0848,579.8293
20240503,79000,77600,46.24,487.5787,566.9843
20240507,79600,81300,57.66,717.0374,526.4854
20240508,80800,81300,57.66,665.8204,488.8793
20240509,81100,79700,52.11,618.2618,568.2451
20240510,80400,79200,50.47,574.1003,563.3704
20240513,79400,78400,47.88,533.0931,580.2726
20240514,78600,78300,47.55,495.015,545.9674
20240516,80200,78200,47.2,459.6568,514.1126
20240517,78600,77400,44.4,426.8242,534.5331
20240520,78100,78900,50.36,503.4796,496.3522
20240521,78500,78400,48.49,467.5168,496.6127
20240522,78100,77700,45.93,434.1227,511.1404
20240523,77700,78300,48.44,445.9711,474.6304
20240524,76800,75900,40.35,414.116,612.1568
20240527,75300,77200,45.65,477.3934,568.4313
20240528,76500,77600,47.2,471.8653,527.829
20240529,77700,75200,39.84,438.1607,661.5555
20240530,74800,73500,35.61,406.8635,735.7301
20240531,74500,73500,35.61,377.8018,683.178
20240603,74400,75700,44.47,507.9588,634.3796
20240604,74900,75300,43.3,471.676,617.6382
20240605,78000,77400,50.62,587.9849,573.5212
20240607,78400,77300,50.29,545.986,539.6982
20240610,76100,75700,45.17,506.987,615.4341
20240611,75900,75200,43.67,470.7736,607.1888
20240612,75300,76500,48.45,530.0041,563.8181
20240613,78400,78600,55.09,642.1466,523.5454
20240614,79700,79600,57.87,667.7076,486.1493
20240617,79200,78100,52.61,620.0142,558.5672
20240618,78700,79800,57.34,697.156,518.6696
20240619,81100,81200,60.81,747.3592,481.6217
20240620,81500,81600,61.77,722.5478,447.2202
20240621,80700,80000,55.89,670.9373,529.5616
20240624,79700,80600,57.52,665.8703,491.7358
20240625,80600,80800,58.08,632.5939,456.6118
20240626,80100,81300,59.51,623.1229,423.9967
20240627,81300,81600,60.38,600.0427,393.7112
20240628,81900,81500,59.92,557.1825,372.7318
20240701,81500,81800,60.89,538.8123,346.1081
20240702,82500,81800,60.89,500.3257,321.3861
20240703,82300,81800,60.89,464.5882,298.43
20240704,82900,84600,69.5,631.4033,277.1135
20240705,85600,87100,74.83,764.8745,257.3197
20240708,87900,87400,75.38,731.6692,238.9397
20240709,87800,87800,76.14,707.9785,221.8726
20240710,87600,87800,76.14,657.4086,206.0246
20240711,88500,87600,74.81,610.4509,205.5942
20240712,85900,84400,57.47,566.8472,419.4804
20240715,84700,86700,63.94,690.6438,389.5175
20240716,86900,87700,66.34,712.7407,361.6948
20240717,87100,86700,61.9,661.8307,407.288
20240718,83800,86900,62.44,628.8428,378.196
20240719,85600,84400,52.43,583.9254,529.7535
20240722,84400,83000,47.81,542.2165,591.9139
20240723,84200,83900,50.81,567.7724,549.6344
20240724,82900,82000,44.93,527.2173,646.089
20240725,80400,80400,40.67,489.5589,714.2255
20240726,80700,80900,42.51,490.3047,663.2094
20240729,81600,81200,43.63,476.7115,615.8373
20240730,80400,81000,43.03,442.6607,586.1347
20240731,81200,83900,53.18,618.1849,544.2679
20240801,86000,83100,50.51,574.0288,562.5345
20240802,81000,79600,40.83,533.0268,772.3534
20240805,76700,71400,27.53,494.9534,1302.8996
20240806,74900,72500,30.79,538.171,1209.8354
20240807,73000,74700,36.9,656.8731,1123.4186
20240808,73200,73400,34.93,609.9536,1136.0315
20240809,75700,74700,38.46,659.2426,1054.8864
20240812,75200,75500,40.59,669.2967,979.5374
20240813,76500,76100,42.21,664.347,909.5704
20240814,77400,77200,45.16,695.465,844.6011
20240816,79400,80200,52.3,860.0747,784.2725
20240819,80100,78300,48.04,798.6408,863.9673
20240820,79500,78900,49.44,784.4521,802.2553
20240821,77900,78300,48.04,728.4199,787.8085
20240822,78700,78300,48.04,676.3899,731.5365
20240823,77700,77700,46.52,628.0763,722.141
20240826,78100,76100,42.63,583.2137,784.8452
20240827,75700,75800,41.92,541.5556,750.2134
20240828,75800,76400,43.93,545.7302,696.6268
20240829,73600,74000,38.24,506.7495,818.2963
20240830,74400,74300,39.3,491.9816,759.8465
