date,open,close,rsi,avg_gain,avg_loss
20240102,78200,79600,80.9,547.0995,129.135
20240103,78500,77000,62.44,508.021,305.6253
20240104,76100,76600,60.16,471.7338,312.3664
20240105,76700,76600,60.16,438.0385,290.0545
20240108,77000,76500,59.53,406.75,276.4792
20240109,77400,74700,49.5,377.6965,385.3021
20240110,75000,73600,44.56,350.7181,436.3519
20240111,72900,73200,42.88,325.6668,433.7554
20240112,73000,73100,42.45,302.4049,409.9157
20240115,73200,73900,47.03,337.9474,380.636
20240116,73500,72600,41.28,313.8083,446.3049
20240117,73100,71000,35.53,291.3934,528.7117
20240118,71600,71700,39.5,320.5796,490.9465
20240119,73500,74700,52.9,511.9668,455.8789
20240122,75900,75100,54.35,503.9692,423.3162
20240123,75700,75200,54.72,475.1142,393.0793
20240124,75200,74000,49.47,441.1775,450.7165
20240125,74200,74100,49.9,416.8077,418.5224
20240126,73700,73400,46.88,387.0357,438.628
20240129,73800,74400,51.4,430.8189,407.2974
20240130,75000,74300,50.94,400.0461,385.3476
20240131,73400,72700,44.04,371.4714,472.1085
20240201,73000,73600,48.28,409.2234,438.3865
20240202,74000,75200,54.84,494.2789,407.0731
20240205,74200,74300,50.93,458.9733,442.2822
20240206,74300,74400,51.34,433.3323,410.6906
20240207,74600,75000,53.86,445.2371,381.3556
20240208,75000,74100,49.7,413.4345,418.4016
20240213,74800,75200,54.35,462.4749,388.5158
20240214,73700,74000,49.03,429.441,446.4789
20240215,74200,73000,45.07,398.7666,486.0161
20240216,73300,72800,44.3,370.2833,465.5864
20240219,72800,73800,48.99,415.263,432.3302
20240220,73700,73300,46.87,385.6014,437.1638
20240221,73400,73000,45.59,358.0584,427.3664
20240222,73800,73100,46.12,339.6257,396.8402
20240223,73600,72900,45.17,315.3667,382.7802
