date,open,close,rsi,avg_gain,avg_loss
20220719,61400,60900,55.02,517.3469,422.9592
20220720,61800,60500,53.28,480.3936,421.3192
20220721,61100,61800,57.94,538.9369,391.225
20220722,61800,61300,55.64,500.4414,398.9947
20220725,60900,61100,54.7,464.6956,384.7807
20220726,60800,61700,57.04,474.3602,357.2964
20220727,61300,61800,57.43,447.6202,331.7752
20220728,62300,61900,57.85,422.7902,308.077
20220729,62400,61400,54.96,392.5909,321.7858
20220801,61000,61300,54.37,364.5487,305.9439
20220802,61200,61700,56.37,367.0809,284.0908
20220803,61600,61300,53.83,340.8608,292.37
20220804,61700,61500,54.92,330.7993,271.4865
20220805,61700,61500,54.92,307.1708,252.0946
20220808,61400,60800,50.1,285.2301,284.0878
20220809,60600,60000,45.21,264.8565,320.9387
20220810,58900,59100,40.43,245.9382,362.3002
20220811,59600,59900,45.91,285.514,336.4216
20220812,59500,60200,47.84,286.5487,312.3915
20220816,60500,61000,52.7,323.2238,290.0778
20220817,61100,60400,49.01,300.1364,312.2151
20220818,60300,61500,55.2,357.2695,289.914
20220819,61400,60900,51.53,331.7503,312.063
20220822,60300,60000,46.53,308.0538,354.0585
20220823,59000,59100,42.12,286.05,393.0544
20220824,59200,59000,41.65,265.6178,372.1219
20220825,59200,59700,46.19,296.6451,345.5418
20220826,60300,60000,48.06,296.8848,320.8602
20220829,58700,58600,40.92,275.6787,397.9416
20220830,58700,58800,42.24,270.2731,369.5172
20220831,58200,59700,47.88,315.2536,343.1231
20220901,58700,58400,41.57,292.7355,411.4715
20220902,58300,57500,37.85,271.8258,446.3664
20220905,57400,57100,36.29,252.4097,443.0545
20220906,57200,57100,36.29,234.3804,411.4077
20220907,56700,56000,32.09,217.6389,460.5929
20220908,56200,55600,30.7,202.0933,456.2648
20220913,57000,58100,46.36,366.2295,423.6745
20220914,56200,56800,41.15,340.0702,486.2692
20220915,57000,56000,38.3,315.7795,508.6785
20220916,55600,56200,39.43,307.5095,472.3443
20220919,56300,56400,40.6,299.8303,438.6055
20220920,56400,55800,38.21,278.4138,450.1336
20220921,55400,55300,36.3,258.5271,453.6955
20220922,54600,54400,33.08,240.0609,485.5744
20220923,54400,54500,33.78,230.0566,450.8905
20220926,53700,53900,31.64,213.624,461.5412
20220927,53800,54200,33.9,219.7937,428.574
20220928,53900,52900,29.37,204.0941,490.8187
20220929,53300,52600,28.43,189.516,477.1888
20220930,52300,53100,32.33,211.6934,443.1039
20221004,55300,55200,45.72,346.5724,411.4536
20221005,56900,56000,49.8,378.9601,382.0641
20221006,56700,56300,51.27,373.3201,354.7738
20221007,55900,56200,50.74,346.6544,336.5756
20221011,54400,55400,46.55,321.8934,369.6774
20221012,55700,55800,48.82,327.4724,343.2719
20221013,55400,55200,45.68,304.0815,361.6096
20221014,56200,56300,51.81,360.9328,335.7803
20221017,55800,56600,53.35,356.5805,311.796
20221018,56700,56500,52.74,331.1105,296.6677
20221019,56700,55800,48.58,307.4597,325.4772
20221020,55200,55500,46.87,285.4983,323.6574
20221021,55100,55900,49.42,293.677,300.539
20221024,57000,57500,58.1,386.9858,279.0719
20221025,57000,57700,59.05,373.6297,259.1382
20221026,58000,59400,66.06,468.3704,240.6283
20221027,59700,59500,66.43,442.0582,223.4406
20221028,58900,57300,52.96,410.4826,364.6234
20221031,58100,59400,61.07,531.1625,338.5789
20221101,59900,60000,63.03,536.0794,314.3947
20221102,59700,59600,60.83,497.788,320.5093
20221103,58600,59200,58.63,462.2317,326.1872
20221104,59100,59400,59.42,443.5009,302.8882
20221107,59700,60200,62.51,468.9651,281.2533
20221108,60500,61800,67.79,549.7533,261.1638
20221109,62000,62000,68.39,524.7709,242.5092
20221110,61400,60400,58.94,487.2873,339.4728
20221111,63100,62900,66.69,631.0525,315.2248
20221114,62900,61900,61.67,585.9773,364.1373
20221115,62200,62400,63.17,579.8361,338.1275
20221116,62400,62700,64.07,559.8478,313.9755
20221117,62000,61400,57.49,519.8587,384.4058
20221118,61800,61800,58.89,511.2973,356.9483
20221121,61400,61400,56.87,474.7761,360.0234
20221122,60900,60600,52.97,440.8635,391.4503
20221123,61200,61000,54.65,437.9447,363.4896
20221124,61200,61400,56.32,435.2344,337.526
20221125,61400,61000,54.17,404.1462,341.9885
20221128,60500,60100,49.57,375.2786,381.8464
20221129,59900,60600,52.0,384.1873,354.5717
20221130,60400,62200,58.86,471.031,329.2451
20221201,63100,62600,60.38,465.9574,305.7276
20221202,62500,60400,49.52,432.6747,441.0328
20221205,60900,60300,49.09,401.7694,416.6733
20221206,59800,59200,44.49,373.0716,465.4824
20221207,58800,58900,43.3,346.4236,453.6622
20221208,58700,59200,44.89,343.1076,421.2577
20221209,59300,60400,50.83,404.3142,391.1679
20221212,59900,59500,46.76,375.4346,427.5131
20221213,59600,59700,47.76,362.9036,396.9764
20221214,59800,60500,51.67,394.1248,368.621
20221215,59800,59300,46.09,365.973,428.0052
20221216,58300,59500,47.12,354.1178,397.4334
20221219,59500,59500,47.12,328.8237,369.0453
20221220,59000,58600,42.87,305.3363,406.9706
20221221,58700,58000,40.26,283.5265,420.7584
20221222,58100,59100,46.67,341.8461,390.7043
20221223,58200,58100,42.23,317.4285,434.2254
20221226,58000,57900,41.38,294.755,417.495
20221227,58000,58100,42.62,287.9868,387.6739
20221228,57600,56600,36.41,267.4163,467.1258
20221229,56000,55300,32.04,248.3152,526.6168
20230102,55500,55500,33.37,244.8641,489.0013
20230103,55400,55400,33.02,227.3738,461.2155
20230104,55700,57800,47.18,382.5614,428.2715
20230105,58200,58200,49.11,383.807,397.6807
20230106,58300,59000,52.83,413.5351,369.275
20230109,59700,60700,59.58,505.4254,342.8982
20230110,60200,60400,58.0,469.3236,339.834
20230111,61000,60500,58.4,442.9433,315.5602
20230112,61100,60500,58.4,411.3045,293.0201
20230113,60500,60800,59.72,403.3542,272.0901
20230116,61300,61100,61.05,395.9718,252.6551
20230117,61200,61000,60.33,367.6881,241.7512
20230118,60700,60400,56.08,341.4246,267.3404
20230119,60500,61500,61.44,395.6086,248.2446
20230120,62100,61800,62.78,388.7794,230.5129
20230125,63500,63400,68.95,475.2952,214.0477
20230126,63800,63900,70.59,477.0598,198.7586
20230127,64400,64600,72.76,492.9841,184.5615
20230130,64900,63300,63.4,457.7709,264.2357
20230131,63500,61000,50.92,425.073,409.6474
20230201,62600,61800,54.29,451.8535,380.3869
20230202,63200,63500,60.5,541.0068,353.2164
20230203,63900,63800,61.49,523.7921,327.9867
20230206,62800,61600,51.3,486.3783,461.7019
20230207,61900,61900,52.46,473.0656,428.7232
20230208,62800,63100,56.87,524.9895,398.1001
20230209,63000,63000,56.4,487.4902,376.8072
20230210,62600,62800,55.42,452.6695,364.1782
20230213,62900,62900,55.83,427.4788,338.1654
20230214,63600,63200,57.12,418.3732,314.0108
20230215,63900,62200,51.7,388.4894,363.01
20230216,62500,63700,58.12,467.883,337.0807
20230217,62900,62600,52.6,434.4628,391.5749
20230220,62900,62700,53.03,410.5726,363.6053
20230221,62700,62100,50.05,381.246,380.4906
20230222,61500,61100,45.46,354.0141,424.7413
20230223,61700,62000,49.91,393.0131,394.4026
20230224,62300,61300,46.72,364.9408,416.231
20230227,60800,60500,43.31,338.8736,443.6431
20230228,60800,60600,43.86,321.8112,411.9543
20230302,60900,60800,45.01,313.1104,382.529
20230303,61000,60500,43.57,290.7453,376.6341
20230306,61100,61500,49.4,341.4064,349.7316
20230307,61400,60700,45.36,317.0202,381.8937
20230308,60100,60300,43.45,294.3759,383.187
20230309,60500,60100,42.48,273.3491,370.1022
20230310,59500,59500,39.64,253.8241,386.5235
20230313,59900,60000,43.06,271.4081,358.9146
20230314,59400,59000,38.38,252.0218,404.7065
20230315,60000,59800,43.66,291.1631,375.7988
20230316,59200,59900,44.3,277.5086,348.9561
20230317,60800,61300,52.47,357.6866,324.0306
20230320,61100,60200,46.68,332.1375,379.457
20230321,60500,60300,47.25,315.5563,352.3529
20230322,61000,61100,51.7,350.1594,327.1849
20230323,60600,62300,57.49,410.8623,303.8145
20230324,62700,63000,60.47,431.515,282.1135
20230327,62600,62100,55.12,400.6925,326.2482
20230328,62400,62900,58.62,429.2145,302.9448
20230329,62500,62700,57.42,398.5563,295.5916
20230330,63700,63200,59.65,405.8023,274.4779
20230331,64000,64000,63.0,433.9592,254.8723
20230403,64000,63100,57.25,402.9622,300.9529
20230404,63400,63600,59.46,409.8934,279.4563
20230405,63700,63900,60.77,402.0439,259.4951
20230406,63500,62300,51.24,373.3265,355.2454
20230407,63800,65000,62.06,539.5174,329.8708
