date,open,close,rsi,avg_gain,avg_loss
20241216,56300,55600,50.33,435.7626,430.1216
20241217,54700,54200,44.76,404.6367,499.3986
20241218,54100,54900,47.86,425.7341,463.7273
20241219,53500,53100,41.42,395.3245,559.1754
20241220,52700,53000,41.09,367.087,526.3771
20241223,53400,53500,43.52,376.5808,488.7787
20241224,53700,54400,47.7,413.9679,453.866
20241226,54500,53600,44.54,384.3988,478.5898
20241227,53500,53700,45.03,364.0846,444.4048
20241230,53300,53200,42.99,338.0785,448.3759
20250102,52700,53400,44.08,328.2158,416.3491
20250103,52800,54400,49.32,376.2004,386.6099
20250106,54400,55900,55.98,456.4718,358.9949
20250107,56800,55400,53.46,423.8666,369.0667
20250108,54800,57300,60.7,529.3047,342.7048
20250109,57600,56100,54.89,491.4973,403.9401
20250110,56100,55300,51.36,456.3903,432.2301
20250113,54600,54100,46.53,423.791,487.0708
20250114,54200,53900,45.75,393.5202,466.5658
20250115,54100,53700,44.95,365.4116,447.5254
20250116,54200,54300,47.91,382.1679,415.5593
20250117,53800,53700,45.29,354.8702,428.7336
20250120,53600,53400,43.99,329.5224,419.5383
20250121,53700,53500,44.56,313.1279,389.5713
20250122,53400,54300,49.02,347.9045,361.7448
20250123,53700,53700,46.03,323.0542,378.763
20250124,53600,53700,46.03,299.9789,351.7085
20250131,52200,52400,39.91,278.5518,419.4436
20250203,51100,51000,34.57,258.6552,489.4834
20250204,51600,52700,44.31,361.6084,454.5203
20250205,53600,52900,45.34,350.065,422.0545
20250206,53400,54000,50.74,403.6318,391.9078
20250207,53900,53700,49.31,374.8009,385.3429
20250210,53000,55600,57.48,483.7437,357.8184
20250211,55500,55700,57.87,456.3335,332.26
20250212,55100,55800,58.27,430.8811,308.5271
20250213,56100,55800,58.27,400.1038,286.4895
20250214,56000,56000,59.19,385.8107,266.0259
20250217,56100,56000,59.19,358.2528,247.0241
20250218,56200,56900,63.38,396.949,229.3795
20250219,57400,58700,70.01,497.167,212.9953
20250220,59100,58400,67.8,461.655,219.2099
20250221,58400,58200,66.31,428.6797,217.8378
20250224,57300,57300,59.89,398.0597,266.5636
20250225,56600,57200,59.21,369.6269,254.6662
20250226,57000,56600,55.13,343.2249,279.3329
20250227,56500,56300,53.16,318.7089,280.8091
20250228,55400,54500,43.19,295.944,389.3228
20250304,53900,54500,43.19,274.8051,361.514
20250305,55100,54000,40.73,255.1762,371.4059
20250306,54100,54300,42.83,258.3779,344.8769
20250307,53500,53700,39.79,239.9223,363.1
20250310,53500,53700,39.79,222.785,337.1642
20250311,52500,53600,39.25,206.8718,320.2239
20250312,53800,54900,48.94,284.9524,297.3508
20250313,55800,54700,47.68,264.5986,290.3972
20250314,54500,54700,47.68,245.6987,269.6545
20250317,55500,57600,63.48,435.2917,250.3935
20250318,58800,57600,63.48,404.1994,232.5082
20250319,57400,58500,67.06,439.6137,215.9005
20250320,59200,60200,72.54,529.6413,200.479
20250321,60900,61700,76.29,598.9527,186.1591
20250324,61200,60500,68.26,556.1703,258.5763
20250325,60900,59800,64.03,516.4439,290.1066
20250326,59800,61400,68.79,593.8407,269.3847
20250327,60900,61800,69.87,579.995,250.1429
20250328,60700,60200,60.85,538.5668,346.5613
20250331,59500,57800,50.35,500.0977,493.2355
20250401,58700,58800,53.91,535.805,458.0044
20250402,58800,58800,53.91,497.5332,425.2898
20250403,56900,57600,49.01,461.9951,480.6262
20250404,56200,56100,43.67,428.9955,553.4386
20250407,53300,53200,35.59,398.353,721.0502
20250408,55000,53500,36.89,391.3277,669.5466
20250409,53300,53000,35.6,363.3758,657.4361
20250410,56600,56400,48.73,580.2775,610.4764
20250411,55600,55200,45.23,538.8291,652.5852
20250414,56300,56200,48.55,571.7699,605.972
20250415,56300,56600,49.86,559.5006,562.6883
20250416,56000,54700,44.11,519.5363,658.2105
20250417,54700,55100,45.54,510.998,611.1955
20250418,55300,55300,46.27,488.7838,567.5387
20250421,55200,55400,46.66,461.0136,527.0002
20250422,54900,55000,45.25,428.084,517.9288
20250423,56000,55700,48.2,447.5066,480.9338
20250424,55600,55700,48.2,415.5418,446.5814
20250425,56400,55700,48.2,385.8603,414.6828
20250428,55800,55800,48.69,365.4417,385.0626
20250429,55700,55800,48.69,339.3387,357.5581
20250430,55900,55500,47.13,315.1002,353.4468
20250502,55000,54300,41.41,292.5931,413.9149
20250507,54500,54600,43.27,293.1221,384.3495
20250508,55100,54600,43.27,272.1848,356.896
20250509,54700,54800,44.62,267.0288,331.4034
20250512,55200,57600,59.28,447.9553,307.7318
20250513,57700,56900,55.34,415.9585,335.7509
20250514,57500,57400,57.51,421.9615,311.7687
20250515,57400,57300,56.91,391.8213,296.6424
20250516,57400,56800,53.9,363.8341,311.1679
20250519,56400,55800,48.39,337.846,360.3702
20250520,56200,55900,48.95,320.857,334.6295
20250521,56200,55700,47.83,297.9386,325.0131
20250522,55300,54700,42.57,276.6573,373.2264
20250523,55000,54200,40.19,256.896,382.2817
20250526,53900,54700,43.59,274.2606,354.9759
20250527,54200,53900,39.7,254.6706,386.7633
20250528,54300,55900,51.37,379.337,359.1373
20250529,56200,56100,52.36,366.5272,333.4847
20250530,56200,56200,52.88,347.4895,309.6643
20250602,56300,56800,55.97,365.526,287.5455
20250604,57200,57800,60.61,410.8456,267.0065
20250605,58100,59100,65.67,474.3566,247.9346
20250609,60400,59800,68.06,490.474,230.225
20250610,60000,59200,63.96,455.4401,256.6375
20250611,59500,59900,66.49,472.9087,238.3062
20250612,59700,59500,63.74,439.1295,249.8558
20250613,60200,58300,56.21,407.7631,317.7232
20250616,58000,57200,50.33,378.6372,373.6002
20250617,57800,58100,54.52,415.8774,346.9144
20250618,58000,59800,61.18,507.6004,322.1348
20250619,60500,59200,57.95,471.3432,341.9823
20250620,59400,59500,59.11,459.1044,317.555
20250623,58400,58000,51.47,426.3113,402.0154
20250624,59400,60500,60.61,574.4319,373.3
20250625,61500,61300,63.01,590.5439,346.6357
20250626,61300,60200,57.79,548.3622,400.4474
20250627,60100,60800,59.75,552.0506,371.8441
20250630,61200,59800,55.16,512.6184,416.7123
20250701,60400,60200,56.6,504.5742,386.9472
20250702,60200,60800,58.73,511.3904,359.3081
20250703,61300,63800,67.38,689.1482,333.6432
20250704,64700,63300,64.94,639.9233,345.5259
20250707,62900,61700,57.73,594.2145,435.1311
20250708,61600,61400,56.46,551.7706,425.4789
20250709,61400,60400,52.34,512.3584,466.5161
20250710,60600,61000,54.49,518.6185,433.1936
20250711,61300,62600,59.7,595.8601,402.2512
20250714,62300,62500,59.24,553.2986,380.6618
20250715,62300,63700,62.91,599.4916,353.4717
20250716,63700,64700,65.68,628.0993,328.2237
20250717,65900,66700,70.43,726.0922,304.7791
20250718,67000,67100,71.29,702.7999,283.0092
20250721,67400,67800,72.78,702.5999,262.7943
20250722,68100,66000,63.65,652.4142,372.5947
20250723,66200,66400,64.71,634.3846,345.9808
20250724,66500,66000,62.74,589.0715,349.8393
20250725,65700,65900,62.23,546.9949,331.9936
20250728,68200,70400,72.9,829.3524,308.2798
20250729,70800,70600,73.26,784.3987,286.2598
