date,open,close,rsi,avg_gain,avg_loss
20240102,78200,79600,80.9,547.1003,129.1344
20240103,78500,77000,62.44,508.0217,305.6248
20240104,76100,76600,60.16,471.7345,312.3659
20240105,76700,76600,60.16,438.0391,290.054
20240108,77000,76500,59.53,406.7506,276.4787
20240109,77400,74700,49.5,377.697,385.3017
20240110,75000,73600,44.56,350.7187,436.3516
20240111,72900,73200,42.88,325.6673,433.755
20240112,73000,73100,42.45,302.4054,409.9154
20240115,73200,73900,47.03,337.9478,380.6357
20240116,73500,72600,41.28,313.8087,446.3046
20240117,73100,71000,35.53,291.3938,528.7114
20240118,71600,71700,39.5,320.58,490.9463
20240119,73500,74700,52.9,511.9671,455.8787
20240122,75900,75100,54.35,503.9695,423.3159
20240123,75700,75200,54.72,475.1145,393.0791
20240124,75200,74000,49.47,441.1777,450.7163
20240125,74200,74100,49.9,416.8079,418.5223
20240126,73700,73400,46.88,387.0359,438.6278
20240129,73800,74400,51.4,430.8191,407.2973
20240130,75000,74300,50.94,400.0463,385.3475
20240131,73400,72700,44.04,371.4715,472.1084
20240201,73000,73600,48.28,409.2236,438.3863
20240202,74000,75200,54.84,494.279,407.073
20240205,74200,74300,50.93,458.9734,442.2821
20240206,74300,74400,51.34,433.3324,410.6905
20240207,74600,75000,53.86,445.2373,381.3555
20240208,75000,74100,49.7,413.4346,418.4015
20240213,74800,75200,54.35,462.475,388.5157
20240214,73700,74000,49.03,429.4411,446.4789
20240215,74200,73000,45.07,398.7667,486.0161
20240216,73300,72800,44.3,370.2834,465.5864
20240219,72800,73800,48.99,415.2631,432.3302
20240220,73700,73300,46.87,385.6015,437.1637
20240221,73400,73000,45.59,358.0585,427.3663
20240222,73800,73100,46.12,339.6258,396.8402
20240223,73600,72900,45.17,315.3668,382.7802
20240226,72300,72800,44.68,292.8406,362.5816
20240227,73100,72900,45.32,279.0662,336.6829
20240228,72900,73200,47.3,280.5615,312.6341
20240229,72600,73400,48.63,274.8071,290.3031
