date,open,close,rsi,avg_gain,avg_loss
20210916,77300,76100,57.18,378.0612,283.1633
20210917,76300,77200,62.03,429.6283,262.9373
20210923,77500,77400,62.86,413.2263,244.1561
20210924,77600,77300,62.13,383.7101,233.8592
20210927,77300,77700,63.93,384.8737,217.155
20210928,77700,76300,54.23,357.3827,301.6439
20210929,74800,74100,43.15,331.8554,437.2408
20210930,74300,74100,43.15,308.1514,406.0093
20211001,73900,73200,39.34,286.1406,441.2943
20211005,73000,72200,35.57,265.702,481.2019
20211006,72600,71300,32.56,246.7233,511.116
20211007,71600,71600,34.55,250.5287,474.6078
20211008,72300,71500,34.19,232.6338,447.8501
20211012,70700,69000,26.65,216.0171,594.4322
20211013,68700,68800,26.16,200.5873,566.2585
20211014,69000,69400,30.35,229.1168,525.8114
20211015,70200,70100,34.99,262.7513,488.2535
20211018,70200,70200,35.65,251.1262,453.3782
20211019,70800,70600,38.34,261.7601,420.9941
20211020,70700,70300,37.09,243.0629,412.3516
20211021,70300,70200,36.66,225.7013,390.0408
20211022,70000,70400,38.2,223.8655,362.1807
20211025,69900,70200,37.22,207.8751,350.5964
20211026,70600,71100,44.15,257.3126,325.5538
20211027,71000,70100,39.0,238.9331,373.7285
20211028,69500,70700,43.27,264.7236,347.0336
20211029,71200,69800,38.87,245.8148,386.5312
20211101,70200,69900,39.61,235.3994,358.9219
20211102,70800,71500,49.97,332.8709,333.2846
20211103,71700,70400,44.34,309.0944,388.05
20211104,71200,70600,45.54,301.302,360.3321
20211105,71600,70200,43.52,279.7804,363.1655
20211108,70400,70600,46.1,288.3675,337.2251
20211109,70300,70500,45.54,267.7698,320.2805
20211110,70300,70200,43.82,248.6434,318.8319
20211111,69900,69900,42.1,230.8832,317.4867
20211112,70200,70600,47.28,264.3915,294.8091
20211115,71700,71400,52.51,302.6493,273.7513
20211116,71500,71300,51.82,281.0315,261.3405
20211117,71300,70700,47.75,260.9578,285.5305
20211118,70700,70200,44.61,242.3179,300.8497
20211119,70400,71200,51.48,296.4381,279.3605
20211122,73300,74900,67.53,539.5496,259.4061
20211123,76000,75300,68.74,529.5818,240.8771
20211124,76000,74800,65.47,491.7545,259.3859
20211125,75100,73700,58.84,456.6292,319.4298
20211126,73500,72300,51.67,424.0128,396.6134
20211129,71700,72300,51.67,393.7262,368.2838
20211130,73200,71300,46.93,365.6029,413.4064
20211201,72000,74400,59.37,560.917,383.8774
20211202,73900,75800,63.53,620.8515,356.4576
20211203,75600,75600,62.54,576.505,345.282
20211206,75100,76300,64.61,585.326,320.619
20211207,76100,77400,67.63,622.0885,297.7177
20211208,78300,77400,67.63,577.6536,276.4521
20211209,77400,78200,69.81,593.5355,256.7055
20211210,77400,76900,62.46,551.1401,331.2266
20211213,77200,76800,61.92,511.7729,314.7104
20211214,76500,77000,62.62,489.5034,292.2311
20211215,76400,77600,64.7,497.396,271.3574
20211216,78500,77800,65.39,476.1535,251.9748
20211217,76800,78000,66.11,456.4282,233.9766
20211220,77600,77100,60.09,423.8262,281.5497
20211221,77900,78100,64.01,464.9815,261.439
20211222,78900,79400,68.36,524.6257,242.7648
20211223,79800,79900,69.87,522.8667,225.4244
20211224,80200,80500,71.62,528.3762,209.3227
20211227,80600,80200,69.45,490.635,215.7996
20211228,80200,80300,69.78,462.7325,200.3854
20211229,80200,78800,59.44,429.6802,293.215
20211230,78900,78300,56.44,398.9888,307.9853
20220103,79400,78600,57.81,391.9181,285.9864
20220104,78800,78700,58.29,371.0668,265.5588
20220105,78800,77400,50.37,344.5621,339.4474
20220106,76700,76900,47.69,319.9505,350.9155
20220107,78100,78300,54.93,397.0969,325.8501
20220110,78100,78000,53.23,368.7328,324.0037
20220111,78400,78900,57.48,406.6805,300.8605
20220112,79500,78900,57.48,377.6319,279.3705
20220113,79300,77900,51.45,350.6582,330.844
20220114,77700,77300,48.19,325.6112,350.0695
20220117,77600,77500,49.34,316.6389,325.0645
20220118,77600,77000,46.55,294.0219,337.5599
20220119,76500,76300,42.9,273.0203,363.4485
20220120,76200,76500,44.24,267.8046,337.4879
20220121,75800,75600,39.7,248.6757,377.6673
20220124,75400,75100,37.41,230.9131,386.4054
20220125,74800,74000,32.9,214.4193,437.3764
20220126,73900,73300,30.39,199.1037,456.1352
20220127,73800,71300,24.61,184.882,566.4113
20220128,71300,73300,37.42,314.5333,525.9533
20220203,74900,73300,37.42,292.0666,488.3852
20220204,74300,74000,41.46,321.2047,453.5006
